                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    138,                0.92558,                0.52978,                 1.1895,                0.94339,                0.97721,                0.98945,                0.78554,                0.81386,                0.43454,                 1.1737,              0.0007944,              0.0007944,              0.0007944
                    139,                 0.9093,                0.52647,                  1.172,                0.94839,                0.97151,                0.98746,                0.77833,                0.82443,                0.43333,                  1.167,              0.0007856,              0.0007856,              0.0007856
                    140,                0.90864,                0.55605,                 1.1789,                0.93445,                0.97578,                0.98844,                0.78812,                0.79404,                0.45501,                 1.1494,              0.0007768,              0.0007768,              0.0007768
                    141,                 0.8947,                0.54798,                 1.1649,                0.94017,                0.97863,                0.98785,                0.78901,                0.78883,                  0.442,                 1.1456,               0.000768,               0.000768,               0.000768
                    142,                0.89192,                0.53969,                 1.1746,                0.95065,                0.96048,                0.99013,                0.78747,                0.80998,                0.47071,                 1.1564,              0.0007592,              0.0007592,              0.0007592
                    143,                0.89548,                0.53221,                 1.1732,                0.95509,                0.96943,                0.98904,                0.78472,                0.81218,                0.45023,                 1.1607,              0.0007504,              0.0007504,              0.0007504
                    144,                0.92398,                0.54766,                 1.1861,                0.96811,                0.95148,                0.99035,                0.77429,                0.84917,                0.44911,                 1.1715,              0.0007416,              0.0007416,              0.0007416
                    145,                0.89689,                0.54524,                  1.186,                0.92728,                0.98575,                0.98913,                0.79151,                0.77514,                0.44174,                  1.137,              0.0007328,              0.0007328,              0.0007328
                    146,                0.89838,                0.55154,                 1.1879,                0.95861,                0.97151,                0.98865,                0.79029,                0.79211,                0.44073,                  1.143,               0.000724,               0.000724,               0.000724
                    147,                0.89968,                0.51583,                 1.1604,                0.96298,                 0.9634,                0.98885,                0.78881,                0.79719,                0.43463,                 1.1516,              0.0007152,              0.0007152,              0.0007152
                    148,                0.88919,                0.52826,                 1.1619,                0.95993,                0.96724,                0.99062,                0.79286,                0.78052,                 0.4328,                  1.145,              0.0007064,              0.0007064,              0.0007064
                    149,                0.89909,                0.52389,                 1.1688,                0.94581,                0.97151,                0.98672,                0.79208,                0.78834,                0.43994,                   1.14,              0.0006976,              0.0006976,              0.0006976
                    150,                0.90963,                0.52949,                 1.1758,                0.95661,                0.97353,                0.98922,                0.78309,                0.83349,                0.43902,                 1.1556,              0.0006888,              0.0006888,              0.0006888
                    151,                0.93516,                0.53018,                  1.186,                0.92744,                0.98324,                0.98743,                0.78793,                0.81867,                0.44402,                  1.151,                0.00068,                0.00068,                0.00068
